Timestamp;What programme are you in?;Have you taken a course on machine learning?;Have you taken a course on information retrieval?;Have you taken a course on statistics?;Have you taken a course on databases?;What is your gender?;Chocolate makes you.....;When is your birthday (date)?;Number of neighbors sitting around you?;Did you stand up?;You can get 100 euros if you win a local DM competition, or we don’t hold any competitions and I give everyone some money (not the same amount!). How much do you think you would deserve then? ;Give a random number;Time you went to be Yesterday;What makes a good day for you (1)?;What makes a good day for you (2)?;What is your stress level (0-100)?
3/27/2019 10:16:11;AI;yes;1;mu;ja;unknown;slim;unknown;3;no;100;6;23:00;sun;lecture;
4/1/2019 15:58:21;AI;no;0;mu;ja;male;fat;09071992;1;no;0;7;3;DM;AI;1
4/1/2019 15:59:07;Computer Science;yes;1;unknown;ja;male;neither;04/08/95;0;unknown;0;0;0;0;0;100
4/1/2019 15:59:30;Econometrics;yes;1;mu;ja;male;fat;29-09-1993;2;no;42;1,645;0,3;Winning;Food;0
4/1/2019 15:59:58;cs;no;1;mu;ja;male;neither;0212;2;no;second;66;20;kiss;love;100
4/1/2019 16:00:01;AI;yes;1;mu;ja;male;unknown;31-12-1994;0;yes;Barkie;420;0000;Ganja;Sun;100
4/1/2019 16:00:12;MSc Bioinformatics & Systems Biology;yes;0;mu;nee;female;neither;09-10-1995;Many;no;100;739;22:00;chocolate;Sun;80
4/1/2019 16:00:16;Bioinformatics and Systems biology;yes;1;mu;ja;male;I have no idea what you are talking about;22/07/1996;0;yes;Don't so much;5;24,3;Stay with my friends;Sun;50
4/1/2019 16:00:21;CLS;no;0;mu;ja;male;neither;30-02-1945;0;no;0;31;03:30;Done something useful;Had fun;0
4/1/2019 16:00:31;AI;yes;1;mu;nee;male;neither;22;Infinite ;no;Above average ;5;02:00;A sunny day;Relax walks;80
4/1/2019 16:00:52;Bioinformatics;yes;0;mu;nee;male;neither;10/06/1991;470;no;20;3851;11;sun;sleep;150
4/1/2019 16:00:59;Computational Science;no;0;mu;nee;male;fat;19;3;no;0,25;6;3;Sun;food;20
4/1/2019 16:00:59;master AI;yes;1;mu;nee;male;I have no idea what you are talking about;18 March 1994;3;no;100000000;7;0:40;Good sleep;Good breakfast;10
4/1/2019 16:01:02;Business Analytics;yes;1;mu;ja;male;fat;02-08-1996;1;no;100;16;2330;Girls;Alcohol;16
4/1/2019 16:01:03;Business Analytics;yes;1;mu;ja;male;fat;1 May;2;no;95;314.152;00:00;sun;food;50
4/1/2019 16:01:04;Econometrics;yes;0;mu;nee;male;neither;1996;11;no;50;11;2:00;Work;Good sleep;10
4/1/2019 16:01:04;Econometrics;no;0;mu;nee;male;fat;03-03-1994;6;no;30;5;5 am;If i went to the gym;Healthy food;0
4/1/2019 16:01:06;BA;yes;1;mu;ja;male;fat;17-05-1994;7;no;30;17;22;Sun;Football;17
4/1/2019 16:01:09;Master of Bioinformatics and system biology;yes;1;mu;ja;male;fat;08-28;3;yes;50;7;24:00;Sunshine;Good meals;40
4/1/2019 16:01:13;BA;yes;0;mu;ja;female;neither;27/12/1996;1;no;100;7;23:00;Sun;Good food;20
4/1/2019 16:01:13;Bioinformatics and Systems Biology;yes;0;mu;ja;female;fat;18-10-1996;2;no;100;2;21;Horses;Chocolate;12
4/1/2019 16:01:13;Artificial Intelligence;no;1;mu;nee;female;slim;21-08-1995;A lot;no;100;6;01:03;Sun;Nice food;2
4/1/2019 16:01:13;Artificial Intelligence;no;0;mu;ja;male;fat;10th,June;4;no;0;888;18:00;good news;very good news;63
4/1/2019 16:01:14;AI;yes;1;mu;ja;female;fat;09/08/1996;1;no;10;2;00:00;Sunshine;Nice food;0
4/1/2019 16:01:15;AI;yes;1;mu;ja;male;neither;24-02-1994;1;no;Barkie 20;0251656723;2:30 am;Sun;Relaxing;0
4/1/2019 16:01:16;Bioinformatics and Systems Biology;yes;0;mu;nee;male;neither;04/06;0;no;0,01;17572857155648217566617584166;01:00;Sea;Weather;98
4/1/2019 16:01:16;Artificial Intelligence;yes;0;mu;ja;female;slim;01-01-1993;5;no;5;6;1 AM;Sunshine;Holiday;20
4/1/2019 16:01:17;Computational Science ;no;0;mu;nee;female;neither;29/03;1;no;0,25;9;23:30;Sunshine;Vacation;10
4/1/2019 16:01:17;Bioinformatics and System biology;yes;1;mu;ja;female;slim;1996-11-06;2;no;100;579659987878648768;22:30;Tony chocolonely toffee pretzel donkere melk of peanutbutter Ben and Jerry's ;Cuddling with dogs ;3
4/1/2019 16:01:17;BA;yes;0;mu;nee;male;I have no idea what you are talking about;11-08;2;no;50;9;22:00;Sun;Summer;5
4/1/2019 16:01:18;Masters Compuational Science;yes;0;sigma;nee;unknown;neither;15/10/1990;4;no;0;8;23;Being around friends;Figuring something out;99
4/1/2019 16:01:18;MA Data Science (UvA);yes;1;mu;ja;male;fat;03-11-1991;5;no;3,5;2;00:45;Friends;Good Food;22
4/1/2019 16:01:24;Bioinformatics and Systems Biology MsC;yes;0;mu;nee;unknown;neither;15-07-1995;1;no;10 cents ;6546498975632.3202156845312.0124653120;1.30 pm ;weed;lovely people ;0
